distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
2.849557758,0.87977151,2.658725307,1,1,0,1,0
22.06595521,1.188861127,3.872917491,1,1,0,1,0
4.774716748,15.38201379,3.761930746,1,0,0,0,0
0.858465498,0.143236323,0.295109288,0,0,0,1,0
37.85974803,0.104174361,0.966423741,1,1,0,1,0
3.037770864,0.049150888,0.299597611,1,0,0,1,0
9.699982944,0.425503847,7.648334143,1,0,0,1,1
40.51073616,1.596809549,0.553699958,1,1,0,1,0
0.773483608,4.051044077,1.825299933,0,1,0,1,0
0.749934957,0.151432361,1.527712552,0,0,0,0,0
5.931944529,0.660675712,7.978746545,1,1,0,1,1
2.578021174,0.025439019,0.350431203,1,1,1,1,0
24.19235271,0.196102892,1.206354518,1,0,0,1,0
10.91096159,0.439819272,0.281163046,1,1,0,1,0
9.329250278,0.934200984,5.419784995,1,0,0,0,0
1.288516349,0.349359329,2.444819471,0,0,0,0,0
17.08205133,12.87626184,0.135570124,1,0,0,1,0
1.247062128,0.211459539,0.209683344,0,1,0,1,0
15.09174502,10.40384022,0.608531674,1,0,0,1,0
2.89952152,1.164776011,1.425540171,1,0,0,1,0
15.56821288,0.106842022,0.926655333,1,0,0,1,0
1.155761171,0.099386562,1.498660069,0,0,0,0,0
6.611392082,0.096862324,2.78701967,1,1,0,0,0
7.521148104,0.491680307,1.607325491,1,0,0,1,0
2.212414571,0.032007397,2.100568332,1,0,0,1,0
0.690903836,7.986046033,0.403827893,0,0,0,0,0
3.082772029,6.818065071,1.679276805,1,0,0,1,0
2.640469553,0.795492799,1.070792537,1,1,0,1,0
17.70877043,0.686252985,3.005712644,1,1,0,1,0
5.088802892,0.785592545,0.294035513,1,1,0,0,0
21.20712303,5.914515897,1.393954252,1,0,0,1,0
4.447141311,0.055899764,0.315585344,1,0,0,1,0
7.903600185,2.387377556,1.065502227,1,1,0,1,0
57.05212131,0.150603559,0.537957456,1,1,0,1,0
2.707557618,2.453195791,0.543608481,1,0,0,0,0
49.45377939,29.12222712,0.881991314,1,0,0,0,0
3.617520894,0.276410777,0.37731208,1,0,0,0,0
3.969220707,0.062132945,0.325463738,1,0,0,1,0
10.64954037,0.303818132,0.427874646,1,0,0,0,0
2.459688242,1.05190585,0.562675367,1,0,0,1,0
22.33893645,1.137156378,0.203620588,1,0,0,0,0
2.99443982,0.281350884,0.407308498,1,1,1,0,0
4.453368949,16.86171132,0.491901892,1,1,0,0,0
6.58339025,4.030495115,0.253788813,1,0,0,1,0
4.965265807,0.068539713,1.14659962,1,0,0,1,0
15.43211436,3.521091328,0.433787104,1,1,0,0,0
1.377740869,2.128135488,1.446904436,0,0,0,1,0
1.724599907,0.116305708,0.379717337,0,0,0,1,0
